Teacher Name,Condition,Timestamp,Event Code
viya2207,Generic,2026-07-20 09:29:51,SESSION_START
viya2207,Generic,2026-07-20 09:29:59,AI_RESPONSE
viya2207,Generic,2026-07-20 09:30:51,USER_MESSAGE
viya2207,Generic,2026-07-20 09:31:00,AI_RESPONSE
Viya_scaffolded,Scaffolded,2026-07-20 09:31:28,SESSION_START
Viya_scaffolded,Scaffolded,2026-07-20 09:31:48,PRIOR_KNOWLEDGE_PROVIDED
Viya_scaffolded,Scaffolded,2026-07-20 09:31:50,MISCONCEPTIONS_PROVIDED
Viya_scaffolded,Scaffolded,2026-07-20 09:31:52,LEARNING_DIFFICULTIES_PROVIDED
Viya_scaffolded,Scaffolded,2026-07-20 09:32:30,REQUIREMENTS_SUBMITTED
Vishnu1342,Generic,2026-07-20 13:43:07,SESSION_START
Vishnu1342,Generic,2026-07-20 13:43:14,AI_RESPONSE
vishnu,Scaffolded,2026-07-23 18:38:56,SESSION_START
vishnu,Scaffolded,2026-07-23 18:39:38,REQUIREMENTS_SUBMITTED
vishnu,Scaffolded,2026-07-23 18:40:33,REQUIREMENTS_SUBMITTED
vishnu,Scaffolded,2026-07-23 18:40:35,REQUIREMENTS_SUBMITTED
vishnu,Scaffolded,2026-07-23 18:40:36,REQUIREMENTS_SUBMITTED
vishnu,Scaffolded,2026-07-23 18:40:37,REQUIREMENTS_SUBMITTED
vishnu,Scaffolded,2026-07-23 18:41:11,REQUIREMENTS_SUBMITTED
vishnu,Scaffolded,2026-07-23 18:41:43,REQUIREMENTS_SUBMITTED
vishnu,Scaffolded,2026-07-23 18:42:16,REQUIREMENTS_SUBMITTED
vishnu,Scaffolded,2026-07-23 18:43:02,REQUIREMENTS_SUBMITTED
vishnu,Scaffolded,2026-07-23 18:44:03,REQUIREMENTS_SUBMITTED
vishnu,Scaffolded,2026-07-23 18:44:51,REQUIREMENTS_SUBMITTED
vishnu,Scaffolded,2026-07-23 18:45:05,REQUIREMENTS_SUBMITTED
vishnu0011,Generic,2026-07-24 00:11:41,SESSION_START
Vishnu0036,Generic,2026-07-24 00:37:10,SESSION_START
Vishnu0110,Generic,2026-07-24 01:10:40,SESSION_START
Vishnu0110,Generic,2026-07-24 01:10:47,AI_RESPONSE
Vishnu0110,Generic,2026-07-24 01:11:25,LESSON_GENERATED
Vishnu0116,Scaffolded,2026-07-24 01:16:18,SESSION_START
Vishnu0116,Scaffolded,2026-07-24 01:18:48,REQUIREMENTS_SUBMITTED
Vishnu0116,Scaffolded,2026-07-24 01:18:48,LESSON_GENERATED
Vishnu0116,Scaffolded,2026-07-24 01:19:18,EVALUATION_GENERATED
Vishnu0116,Scaffolded,2026-07-24 01:25:14,PDF_EXPORTED
Vishnu0134,Generic,2026-07-24 01:34:35,SESSION_START
Vishnu0134,Generic,2026-07-24 01:34:56,AI_RESPONSE
Vishnu0140,Generic,2026-07-24 01:41:07,SESSION_START
Vishnu0140,Generic,2026-07-24 01:41:24,AI_RESPONSE
Vishnu0142,Generic,2026-07-24 01:43:28,SESSION_START
Vishnu0142,Generic,2026-07-24 01:43:43,AI_RESPONSE
Vishnu0147,Generic,2026-07-24 01:47:58,SESSION_START
Vishnu0147,Generic,2026-07-24 01:48:18,AI_RESPONSE
Vishnu0147,Generic,2026-07-24 01:55:40,LESSON_GENERATED
Vishnu0147,Generic,2026-07-24 01:56:09,PDF_EXPORTED
Vishnu0911,Scaffolded,2026-07-24 09:11:21,SESSION_START
Vishnu0911,Scaffolded,2026-07-24 09:14:38,REQUIREMENTS_SUBMITTED
Vishnu0911,Scaffolded,2026-07-24 09:14:38,LESSON_GENERATED
Vishnu0911,Scaffolded,2026-07-24 09:15:01,EVALUATION_GENERATED
vishnu0940,Scaffolded,2026-07-24 09:40:50,SESSION_START
vishnu0940,Scaffolded,2026-07-24 09:41:56,CLARIFICATION_QUESTIONS_GENERATED
vishnu0940,Scaffolded,2026-07-24 09:42:15,REQUIREMENTS_SUBMITTED
vishnu0940,Scaffolded,2026-07-24 09:42:15,LESSON_GENERATED
vishnu0940,Scaffolded,2026-07-24 09:42:40,EVALUATION_GENERATED
vishnu0940,Scaffolded,2026-07-24 09:43:14,PDF_EXPORTED
Viya0952,Scaffolded,2026-07-24 09:54:34,SESSION_START
Viya0952,Scaffolded,2026-07-24 09:55:13,REQUIREMENTS_SUBMITTED
Viya0952,Scaffolded,2026-07-24 09:55:13,LESSON_GENERATED
Viya0952,Scaffolded,2026-07-24 12:40:38,SESSION_START
